Username,Like_Count,Created_At,Comment
jendamclover,964,10/12/2025 5:01,Kemarin rasanya piala dunia sudah di depan mata
a.apink_,0,10/12/2025 16:34,out petrik
ggfc.cepogo,0,10/12/2025 16:33,#patrickout
auliaasmulnst,0,10/12/2025 11:08,Posisi bang? @arya.m.sinulingga kok gak nampak abang pas timnas kalah. Alasan apalagi ini?
wong.ora.kanggo,0,10/12/2025 11:07,"ERICK THOHIR ANJING,, KLUIVERT BABI,, BUBARKAN PSSI JANCOOOOOKKKKK"
wong.ora.kanggo,0,10/12/2025 11:07,"ERICK THOHIR ANJING,, KLUIVERT BABI,, BUBARKAN PSSI JANCOOOOOKKKKK"
faridramdhnnn,0,10/12/2025 11:06,Patrik P nya PETOAKKKKK #KluivertOut
skyvincz,0,10/12/2025 11:06,Kalian HEBAT!!! Sampai disini itu sudah sangat LUAR BIASA.. AYO BANGKIT GARUDA..
danielgilang,0,10/12/2025 11:06,"Info seleksi piala aff pa,manawi tiasa abi hyng maen jadi bek"
akfarabdullah,0,10/12/2025 11:05,#patrickout
rowisultonfatahilah_,0,10/12/2025 11:05,Terima kasih sudah pernah sedekat ini.
coffea_bear,0,10/12/2025 11:05,WWKKWKW CAPE CAPE COCH @shintaeyong7777 naikin sepak bola indonesia malah di jatuhin sama coch ampas pejudi😂😂😂😂😂
shakielhrcts,0,10/12/2025 11:02,#patrickout
theonichol_19,0,10/12/2025 11:02,#patrickout
arpahmi_,0,10/12/2025 11:02,Tolong suruh angkat kaki skarang juga 🫵🏻
rzz.frizz,0,10/12/2025 11:01,#PatrickOut
yuk.kav,0,10/12/2025 11:01,erik kontol
gunturshdq,0,10/12/2025 11:01,RIP PATRICK !!!!
kvtjhn,0,10/12/2025 8:57,"Don't blame yourself guys,you did great! Maybe not now,maybe tomorrow! Keep your head up Garuda!"
alek62903,1,10/12/2025 8:57,"pak @erickthohir sudah menghancurkan hati fans bola, kita pastikan karir politiknya tidak baik² saja..."
rizalvandal_13,0,10/12/2025 8:57,#patrickout 💔
fikribepe_,0,10/12/2025 8:57,"Hatur nuhun kasadaya jajaran pamaen, tim, sareng pelatih. Panginten sanes rejekina tiasa lolos la Pildun, evaluasi mudah2an kapayunna langkung sae deui ❤️🔥🇮🇩"
alek62903,0,10/12/2025 8:57,"pak @erickthohir sudah menghancurkan hati fans bola, kita pastikan karir politiknya tidak baik² saja...."
kevintindaon__,0,10/12/2025 8:57,@erickthohir pak...
irfancelluler.tanjungtambak,0,10/12/2025 8:57,💔💔💔💔💔💔💔KALO PELATIHNYA MASIH STY MUNGKIN GAGAL GAK JADI MASALAH 💔💔💔💔💔💔💔
zazahraf_,0,10/12/2025 8:56,thank you so much Garudaku🤍
panri_tayya,0,10/12/2025 8:56,Out kau anjingggg @erickthohir
yogiiii391,1,10/12/2025 8:56,Woy petrik di tungguin sama Spongebob di suruh pulang #petrickout
satriaadee,0,10/12/2025 8:56,Tanggung jawab ndut @erickthohir
wati.zila,0,10/12/2025 8:56,"Terima kasih untuk permainan yg optimal, ini menjadi pembelajaran utk management kedepan. Tetap semangat..karena kalian semua tetap no. 1"
ardabilfahrezi,0,10/12/2025 8:55,Haha
klikyamaha,0,10/12/2025 8:55,"@erickthohir Usul pak, knp Qt tidak belajar dari timnas Arab Saudi dan Australia? Arab Saudi mengganti pelatih mantan bintang timnas Italia dan kembali ke pelatih lama yang pernah mengangkat pamor arab Saudi begitu juga dengan Australia keputusan mengganti pelatihnya juga sangat tepat. Sy harap kita tidak selalu beralasan ini pembelajaran dan ujian tapi Qt tetap gagal di pelajaran yg sama."
yabsour,0,10/12/2025 8:55,Untung kaga di tonton
galangbartverbruggen8,0,10/12/2025 7:40,Patrick out
galangbartverbruggen8,0,10/12/2025 7:40,Patrick out
galangbartverbruggen8,0,10/12/2025 7:40,Patrick out
adityawrmn_,0,10/12/2025 7:40,Selain patrick kalian semua udah keren 😭😭😭
pradityacandraa,0,10/12/2025 7:40,"Sakit hati,harus punya hati💔"
mhmd_dhlan28,0,10/12/2025 7:40,"Udah Paling Bener Liga Korupsi, Malah Mau maen Piala Dunia Segala Wkwkwk"
fwz_2805,0,10/12/2025 7:40,@erickthohir di kasih yang kelas dunia
debi_coknan,0,10/12/2025 7:40,@erickthohir  balekno sty
koseina.hikari17,0,10/12/2025 7:40,"@erickthohir Pak mundur pak bawa sekalian jajaran pejabat anda untuk mundur, jaga harga diri anda, saya gak akan menghujat bapak, saya cuma ingin anda bertanggung jawab dengan mundur dari jabatan anda"
ptrafrrmnsyh12,0,10/12/2025 5:36,Klo udah gini harus nyalahin siapaa??
tesaapiyan,0,10/12/2025 5:36,Thx guys u do your best …. Tp kita ga bisa iklas gitu saja he he ❤️ yg harus out mending out sekarang :)
